UID,PRO_ID,COUNTY_ID *,TOWN_ID,VILLAGE_ID,V_Name,T_Name,C_Name,Substitute,V_Name_e,T_Name_e,C_Name_e
1946,9,9007,900701,0900701-001,介壽村,南竿鄉,連江縣,介壽村,Jieshou Vil.,Nangan Township,Lienchiang County
1947,9,9007,900701,0900701-002,復興村,南竿鄉,連江縣,復興村,Fuxing Vil.,Nangan Township,Lienchiang County
1948,9,9007,900701,0900701-003,福沃村,南竿鄉,連江縣,福沃村,Fuwo Vil.,Nangan Township,Lienchiang County
1949,9,9007,900701,0900701-004,清水村,南竿鄉,連江縣,清水村,Qingshui Vil.,Nangan Township,Lienchiang County
1950,9,9007,900701,0900701-005,仁愛村,南竿鄉,連江縣,仁愛村,Ren'ai Vil.,Nangan Township,Lienchiang County
1951,9,9007,900701,0900701-006,津沙村,南竿鄉,連江縣,津沙村,Jinsha Vil.,Nangan Township,Lienchiang County
1952,9,9007,900701,0900701-007,馬祖村,南竿鄉,連江縣,馬祖村,Mazu Vil.,Nangan Township,Lienchiang County
1953,9,9007,900701,0900701-008,珠螺村,南竿鄉,連江縣,珠螺村,Zhuluo Vil.,Nangan Township,Lienchiang County
1954,9,9007,900701,0900701-009,四維村,南竿鄉,連江縣,四維村,Siwei Vil.,Nangan Township,Lienchiang County
10541,9,9007,900701,0900701-S01,黃官嶼1,南竿鄉,連江縣,黃官嶼1,Huangguan Island1,Nangan Township,Lienchiang County
10542,9,9007,900701,0900701-S02,黃官嶼2,南竿鄉,連江縣,黃官嶼2,Huangguan Island2,Nangan Township,Lienchiang County
10543,9,9007,900701,0900701-S03,黃官嶼3,南竿鄉,連江縣,黃官嶼3,Huangguan Island3,Nangan Township,Lienchiang County
10544,9,9007,900701,0900701-S04,黃官嶼4,南竿鄉,連江縣,黃官嶼4,Huangguan Island4,Nangan Township,Lienchiang County
10545,9,9007,900701,0900701-S05,黃官嶼5,南竿鄉,連江縣,黃官嶼5,Huangguan Island5,Nangan Township,Lienchiang County
10546,9,9007,900701,0900701-S06,黃官嶼6,南竿鄉,連江縣,黃官嶼6,Huangguan Island6,Nangan Township,Lienchiang County
10547,9,9007,900701,0900701-S07,黃官嶼7,南竿鄉,連江縣,黃官嶼7,Huangguan Island7,Nangan Township,Lienchiang County
10548,9,9007,900701,0900701-S08,黃官嶼8,南竿鄉,連江縣,黃官嶼8,Huangguan Island8,Nangan Township,Lienchiang County
